Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 0.25 01/25,21/04/2023,GB00BLPK7110,Conventional,0.25,31/01/2025,93.28,93.33732,97,4.228697,1.730218,0.05732
UKT 0.25 01/25,24/04/2023,GB00BLPK7110,Conventional,0.25,31/01/2025,93.287,93.345011,100,4.230619,1.727496,0.058011
UKT 0.25 01/25,25/04/2023,GB00BLPK7110,Conventional,0.25,31/01/2025,93.399,93.457702,96,4.167383,1.725328,0.058702
UKT 0.25 01/25,26/04/2023,GB00BLPK7110,Conventional,0.25,31/01/2025,93.453,93.512392,102,4.140038,1.722854,0.059392
UKT 5 03/25,20/04/2023,GB0030880693,Conventional,5,07/03/2025,101.684,102.295413,106,4.056927,1.770542,0.611413
UKT 5 03/25,21/04/2023,GB0030880693,Conventional,5,07/03/2025,101.658,102.310174,98,4.067317,1.762454,0.652174
UKT 5 03/25,24/04/2023,GB0030880693,Conventional,5,07/03/2025,101.611,102.276761,99,4.092098,1.759559,0.665761
UKT 5 03/25,25/04/2023,GB0030880693,Conventional,5,07/03/2025,101.734,102.413348,97,4.022414,1.757548,0.679348
UKT 5 03/25,26/04/2023,GB0030880693,Conventional,5,07/03/2025,101.746,102.438935,106,4.014346,1.75496,0.692935
UKT 0.625 06/25,20/04/2023,GB00BK5CVX03,Conventional,0.625,07/06/2025,93.705,93.936799,108,3.727681,2.074207,0.231799
UKT 0.625 06/25,21/04/2023,GB00BK5CVX03,Conventional,0.625,07/06/2025,93.704,93.940951,96,3.740276,2.065985,0.236951
UKT 0.625 06/25,24/04/2023,GB00BK5CVX03,Conventional,0.625,07/06/2025,93.647,93.885668,96,3.773743,2.062942,0.238668
UKT 0.625 06/25,25/04/2023,GB00BK5CVX03,Conventional,0.625,07/06/2025,93.762,94.002385,109,3.718432,2.060818,0.240385
UKT 0.625 06/25,26/04/2023,GB00BK5CVX03,Conventional,0.625,07/06/2025,93.783,94.025102,105,3.711609,2.058191,0.242102
UKT 2 09/25,20/04/2023,GB00BTHH2R79,Conventional,2,07/09/2025,95.793,96.037565,93,3.868218,2.283207,0.244565
UKT 2 09/25,21/04/2023,GB00BTHH2R79,Conventional,2,07/09/2025,95.782,96.04287,98,3.879519,2.275076,0.26087
UKT 2 09/25,24/04/2023,GB00BTHH2R79,Conventional,2,07/09/2025,95.741,96.007304,99,3.900413,2.272162,0.266304
UKT 2 09/25,25/04/2023,GB00BTHH2R79,Conventional,2,07/09/2025,95.868,96.139739,99,3.844308,2.270161,0.271739
UKT 2 09/25,26/04/2023,GB00BTHH2R79,Conventional,2,07/09/2025,95.885,96.162174,106,3.838581,2.267563,0.277174
UKT 3.5 10/25,20/04/2023,GB00BPCJD880,Conventional,3.5,22/10/2025,98.425,98.415385,92,4.169286,2.368059,-0.009615
UKT 3.5 10/25,21/04/2023,GB00BPCJD880,Conventional,3.5,22/10/2025,98.425,98.444126,102,4.171271,2.359989,0.019126
UKT 3.5 10/25,24/04/2023,GB00BPCJD880,Conventional,3.5,22/10/2025,98.373,98.401689,109,4.194348,2.357019,0.028689
UKT 3.5 10/25,25/04/2023,GB00BPCJD880,Conventional,3.5,22/10/2025,98.53,98.568251,104,4.127342,2.355194,0.038251
UKT 3.5 10/25,26/04/2023,GB00BPCJD880,Conventional,3.5,22/10/2025,98.561,98.608814,112,4.114598,2.352679,0.047814
UKT 0.125 01/26,20/04/2023,GB00BL68HJ26,Conventional,0.125,30/01/2026,90.626,90.65397,108,3.709488,2.720784,0.02797
UKT 0.125 01/26,21/04/2023,GB00BL68HJ26,Conventional,0.125,30/01/2026,90.657,90.686006,103,3.707692,2.712671,0.029006
UKT 0.125 01/26,24/04/2023,GB00BL68HJ26,Conventional,0.125,30/01/2026,90.643,90.672351,108,3.716994,2.709835,0.029351
UKT 0.125 01/26,25/04/2023,GB00BL68HJ26,Conventional,0.125,30/01/2026,90.839,90.868696,102,3.640862,2.708141,0.029696
UKT 0.125 01/26,26/04/2023,GB00BL68HJ26,Conventional,0.125,30/01/2026,90.859,90.889041,101,3.636271,2.70549,0.030041
UKT 1.5 07/26,20/04/2023,GB00BYZW3G56,Conventional,1.5,22/07/2026,93.196,93.564785,108,3.739564,3.115026,0.368785
UKT 1.5 07/26,21/04/2023,GB00BYZW3G56,Conventional,1.5,22/07/2026,93.23,93.611215,99,3.733478,3.106994,0.381215
UKT 1.5 07/26,24/04/2023,GB00BYZW3G56,Conventional,1.5,22/07/2026,93.235,93.620359,94,3.733624,3.10428,0.385359
UKT 1.5 07/26,25/04/2023,GB00BYZW3G56,Conventional,1.5,22/07/2026,93.469,93.858503,98,3.655025,3.102894,0.389503
UKT 1.5 07/26,26/04/2023,GB00BYZW3G56,Conventional,1.5,22/07/2026,93.483,93.876646,103,3.652018,3.100232,0.393646
UKT 0.375 10/26,20/04/2023,GB00BNNGP668,Conventional,0.375,22/10/2026,88.723,88.72197,109,3.847083,3.415943,-0.00103
UKT 0.375 10/26,21/04/2023,GB00BNNGP668,Conventional,0.375,22/10/2026,88.761,88.763049,111,3.842682,3.407962,0.002049
UKT 0.375 10/26,24/04/2023,GB00BNNGP668,Conventional,0.375,22/10/2026,88.768,88.771074,94,3.843081,3.405274,0.003074
UKT 0.375 10/26,25/04/2023,GB00BNNGP668,Conventional,0.375,22/10/2026,89.028,89.032098,96,3.759865,3.40402,0.004098
UKT 0.375 10/26,26/04/2023,GB00BNNGP668,Conventional,0.375,22/10/2026,89.052,89.057123,94,3.754595,3.401428,0.005123
UKT 4.125 01/27,20/04/2023,GB00BL6C7720,Conventional,4.125,29/01/2027,100.463,101.397392,108,3.990161,3.434015,0.934392
UKT 4.125 01/27,21/04/2023,GB00BL6C7720,Conventional,4.125,29/01/2027,100.495,101.463577,109,3.980672,3.426105,0.968577
UKT 4.125 01/27,24/04/2023,GB00BL6C7720,Conventional,4.125,29/01/2027,100.493,101.472972,106,3.981148,3.423385,0.979972
UKT 4.125 01/27,25/04/2023,GB00BL6C7720,Conventional,4.125,29/01/2027,100.767,101.758367,105,3.902246,3.422464,0.991367
UKT 4.125 01/27,26/04/2023,GB00BL6C7720,Conventional,4.125,29/01/2027,100.741,101.743762,100,3.909566,3.419589,1.002762
UKT 1.25 07/27,20/04/2023,GB00BDRHNP05,Conventional,1.25,22/07/2027,90.528,90.83532,112,3.675111,4.061825,0.30732
UKT 1.25 07/27,21/04/2023,GB00BDRHNP05,Conventional,1.25,22/07/2027,90.56,90.87768,93,3.671055,4.053781,0.31768
UKT 1.25 07/27,24/04/2023,GB00BDRHNP05,Conventional,1.25,22/07/2027,90.538,90.859133,99,3.678575,4.050895,0.321133
UKT 1.25 07/27,25/04/2023,GB00BDRHNP05,Conventional,1.25,22/07/2027,90.817,91.141586,101,3.604404,4.049888,0.324586
UKT 1.25 07/27,26/04/2023,GB00BDRHNP05,Conventional,1.25,22/07/2027,90.8,91.128039,106,3.610516,4.047034,0.328039
UKT 4.25 12/27,20/04/2023,GB00B16NNR78,Conventional,4.25,07/12/2027,102.382,103.958236,110,3.684704,4.116914,1.576236
UKT 4.25 12/27,21/04/2023,GB00B16NNR78,Conventional,4.25,07/12/2027,102.386,103.997264,103,3.682892,4.108879,1.611264
UKT 4.25 12/27,24/04/2023,GB00B16NNR78,Conventional,4.25,07/12/2027,102.329,103.95194,112,3.695951,4.105766,1.62294
UKT 4.25 12/27,25/04/2023,GB00B16NNR78,Conventional,4.25,07/12/2027,102.602,104.236615,110,3.631766,4.105111,1.634615
UKT 4.25 12/27,26/04/2023,GB00B16NNR78,Conventional,4.25,07/12/2027,102.584,104.230291,93,3.635656,4.102289,1.646291
UKT 0.125 01/28,20/04/2023,GB00BMBL1G81,Conventional,0.125,31/01/2028,84.569,84.596624,98,3.675245,4.677366,0.027624
UKT 0.125 01/28,21/04/2023,GB00BMBL1G81,Conventional,0.125,31/01/2028,84.626,84.65466,110,3.667021,4.66942,0.02866
UKT 0.125 01/28,24/04/2023,GB00BMBL1G81,Conventional,0.125,31/01/2028,84.606,84.635006,108,3.674148,4.666541,0.029006
UKT 0.125 01/28,25/04/2023,GB00BMBL1G81,Conventional,0.125,31/01/2028,84.91,84.939351,95,3.599353,4.665578,0.029351
UKT 0.125 01/28,26/04/2023,GB00BMBL1G81,Conventional,0.125,31/01/2028,84.883,84.912696,96,3.608198,4.662657,0.029696
UKT 1.625 10/28,20/04/2023,GB00BFX0ZL78,Conventional,1.625,22/10/2028,90.09,90.085536,107,3.627898,5.177806,-0.004464
UKT 1.625 10/28,21/04/2023,GB00BFX0ZL78,Conventional,1.625,22/10/2028,90.148,90.15688,112,3.618296,5.170056,0.00888
